Mth,1-Room and 2-Room,3-Room ,4-Room,5-Room and Executive,Private Apartments and Condominiums,Landed Properties
1,149.60,258.70,354.70,430.90,567.20,1108.90
2,143.20,249.50,341.20,416.70,557.00,1105.60
3,139.00,245.70,338.00,411.90,563.80,1117.60
4,154.80,282.90,386.30,472.30,636.70,1221.60
5,164.40,299.80,410.10,502.40,700.10,1299.20
6,171.80,313.20,434.80,526.00,705.50,1312.10
7,167.00,303.80,417.80,518.90,679.10,1269.60
8,173.30,307.70,423.60,521.00,678.80,1285.20
9,161.60,279.40,382.20,467.90,615.80,1215.60
10,154.90,272.30,368.00,451.30,620.80,1233.00
11,161.10,278.70,384.20,471.10,632.50,1223.50
12,154.90,263.10,356.80,435.70,576.00,1139.70
